"","Battery","To100sec","TopSpeed","Range","WhperKm","FastChargeSpeed","Drive","NumberofSeats","Price"
"Opel Vivaro-e Combi L 50",46.3,12.1,130,180,257,290,0,7,37520
"Opel Vivaro-e Combi M 50",46.3,12.1,130,185,250,290,0,7,37320
"Opel Zafira-e Life L 50",46.3,12.1,130,180,257,290,0,7,50990
"Opel Zafira-e Life M 50",46.3,12.1,130,185,250,290,0,7,50630
"Peugeot e-2008 SUV",46.3,8.5,150,260,178,420,0,5,35150
"Peugeot e-208 2021",46.3,8.1,150,290,160,460,0,5,34595
"Peugeot e-208 2022",48.1,8.2,150,310,155,480,0,5,34955
"Peugeot e-308",50.8,9,150,310,164,460,0,5,37000
"Peugeot e-308 SW",50.8,9,150,300,169,450,0,5,38000
"Peugeot e-Rifter Long 50",46.3,11.7,135,200,232,320,0,7,34300
"Peugeot e-Rifter Standard 50",46.3,11.7,135,205,226,330,0,7,32300
"Peugeot e-Traveller Long 50",46.3,13.1,130,180,257,290,0,7,54275
"Peugeot e-Traveller Standard 50",46.3,13.1,130,185,250,290,0,7,49100
"Polestar 2 Long Range Dual Motor",78,4.5,205,420,186,650,2,5,52950
"Polestar 2 Long Range Performance",78,4.2,205,410,190,630,2,5,57950
"Polestar 2 Long Range Single Motor",78,6.2,205,440,177,680,1,5,48950
"Polestar 2 Standard Range Single Motor",67,6.4,205,385,174,620,1,5,44950
"Polestar 3 Long Range Dual motor",107,5,210,490,218,640,2,5,79900
"Polestar 3 Long Range Performance",107,4.7,210,470,228,610,2,5,85500
"Polestar 4 Long Range Dual Motor",94,3.8,200,475,198,710,2,5,60000
"Polestar 4 Long Range Single Motor",94,7.4,180,510,184,760,1,5,55000
"Porsche Taycan",71,5.4,230,410,173,1010,1,4,75500
"Porsche Taycan 4 Cross Turismo",83.7,5.1,220,425,197,1050,2,4,84500
"Porsche Taycan 4S",71,4,250,395,180,970,2,4,86500
"Porsche Taycan 4S Cross Turismo",83.7,4.1,240,425,197,1050,2,4,91000
